Time,Universal_Angle_1_0,Universal_Angle_2_0,Universal_Angle_1_1,Universal_Angle_2_1,Universal_Angle_1_2,Universal_Angle_2_2,Universal_Angle_1_3,Universal_Angle_2_3,Universal_Angle_1_4,Universal_Angle_2_4,Universal_Angle_1_5,Universal_Angle_2_5,Universal_Angle_1_6,Universal_Angle_2_6,Universal_Angle_1_7,Universal_Angle_2_7
4.74,-7.06789929214e-17,0.0784646788182,-7.06789929214e-17,0.0593597598264,-7.06789929214e-17,0.0919841031766,-7.06789929214e-17,0.157523325316,-1.41357985843e-16,-0.221676713416,-1.06018489382e-16,-0.162042724666,-7.06789929214e-17,-0.0965707135527,-7.06789929214e-17,-0.0629939710355
8.42,-7.06789929214e-17,0.227671120766,-7.06789929214e-17,0.178092912666,-1.41357985843e-16,0.11343042771,-0.0,0.0718681687478,-0.0,-0.0675610222929,-7.06789929214e-17,-0.0621845447072,-7.06789929214e-17,-0.106514954978,-0.0,-0.174706564368
2.5,-0.0,0.197509624037,-7.06789929214e-17,0.132400274422,-1.41357985843e-16,0.0785077917074,-7.06789929214e-17,0.0678706681913,-0.0,-0.097217724158,-1.41357985843e-16,-0.0596202356011,-7.06789929214e-17,-0.0734464928791,-7.06789929214e-17,-0.130857585933
5.16,-0.0,0.187651418688,-7.06789929214e-17,0.237041333426,-7.06789929214e-17,0.237296370791,-0.0,0.186236584727,-0.0,-0.113804551808,-7.06789929214e-17,-0.184404168778,-1.06018489382e-16,-0.233320441262,-1.41357985843e-16,-0.233122110428
2.66,-7.06789929214e-17,0.112567616474,-7.06789929214e-17,0.0651588111874,-1.76697482304e-16,0.0668200626952,-7.06789929214e-17,0.117146932704,-1.41357985843e-16,-0.184897565012,-7.06789929214e-17,-0.116445106291,-1.41357985843e-16,-0.0678732793267,-7.06789929214e-17,-0.0671626946971
6.68,-7.06789929214e-17,0.102803748437,-7.06789929214e-17,0.0616267967737,-0.0,0.0713924840532,-0.0,0.126885102876,-7.06789929214e-17,-0.195291280322,-1.41357985843e-16,-0.127467012265,-1.41357985843e-16,-0.0733503711242,-7.06789929214e-17,-0.0640702797913
7.26,-7.06789929214e-17,0.227958693147,-7.06789929214e-17,0.240803495552,-0.0,0.202513375382,-0.0,0.134467930016,-0.0,-0.0708497216855,-0.0,-0.127173752602,-0.0,-0.194830861593,-7.06789929214e-17,-0.234819596177
0.2,-1.76697482304e-16,0.195858532961,-7.06789929214e-17,0.222941185152,-1.41357985843e-16,0.185455523215,-1.41357985843e-16,0.138632455459,-7.06789929214e-17,-0.0785133309316,-1.41357985843e-16,-0.137837622204,-1.41357985843e-16,-0.194946753015,-7.06789929214e-17,-0.222257723206
9.58,-1.41357985843e-16,0.155757127928,-7.06789929214e-17,0.0915739827674,-1.41357985843e-16,0.0618584201109,-0.0,0.084518152238,-0.0,-0.139746898224,-1.06018489382e-16,-0.0791972253683,-7.06789929214e-17,-0.0594636862426,-1.41357985843e-16,-0.0918053476722
0.96,-7.06789929214e-17,0.0846038659098,-7.06789929214e-17,0.143448367771,-0.0,0.205079532539,-0.0,0.232419104371,-1.41357985843e-16,-0.220167509703,-1.76697482304e-16,-0.242596562976,-7.06789929214e-17,-0.212198063257,-7.06789929214e-17,-0.147061704686
4.58,-3.53394964607e-17,0.155759326972,-0.0,0.0915779989549,-7.06789929214e-17,0.0618628136319,-1.41357985843e-16,0.084522677497,-0.0,-0.139741713794,-1.41357985843e-16,-0.0791925544723,-1.41357985843e-16,-0.0594605485009,-0.0,-0.0918042771947
