0.5400000000000001,|[0.012177035309450322, -0.054036620415047525, 0.0851935901317859, -0.09947692449210814, 0.09405763395235227, -0.07000907546715376]|
0.5600000000000002,|[0.010928821142099204, -0.052975009676108964, 0.08452884784790797, -0.09934071102514197, 0.09447692804997905, -0.07090083079103386]|
0.5800000000000002,|[0.009678881187198833, -0.051905033569036765, 0.08385075747906538, -0.09918881050831088, 0.09488130314545545, -0.07178139005182356]|
0.6000000000000002,|[0.008427412824757678, -0.050826861055461775, 0.08315942610358802, -0.09902124692846737, 0.09527069538326623, -0.0726506141990078]|
0.6200000000000002,|[0.0071746136761380004, -0.04974066239132214, 0.08245496289071406, -0.09883804674584312, 0.09564504327386304, -0.07350836597201739]|
0.6400000000000002,|[0.005920681572847924, -0.048646609099979185, 0.0817374790833516, -0.09863923888987075, 0.09600428770337441, -0.07435450992190398]|
0.6600000000000003,|[0.004665814525302954, -0.04754487394512996, 0.08100708798051096, -0.0984248547546152, 0.0963483719429406, -0.07518891243272956]|
0.6800000000000003,|[0.003410210691556423, -0.046435630903527134, 0.08026390491941425, -0.0981949281938169, 0.09667724165767104, -0.076011441742664]|
0.7000000000000003,|[0.002154068346009457, -0.04531905513750542, 0.07950804725728183, -0.09794949551554508, 0.09699084491522558, -0.0768219679647947]|
0.7200000000000003,|[0.0008975858480997254, -0.04419532296732265, 0.0787396343528012, -0.09768859547646477, 0.09728913219401447, -0.07762036310763525]|
0.7400000000000003,|[-0.0003590383890203885, -0.0430646118433149, 0.07795878754727745, -0.09741226927571663, 0.09757205639101854, -0.07840650109533731]|
0.7600000000000003,|[-0.001615605929816771, -0.041927100317876276, 0.07716563014547306, -0.09712056054841099, 0.09783957282922731, -0.0791802577875994]|
0.7800000000000004,|[-0.002871918347708315, -0.0407829680172631, 0.07636028739613633, -0.0968135153587375, 0.09809163926469402, -0.0799415109992702]|
0.8000000000000004,|[-0.004127777256400245, -0.03963239561322851, 0.07554288647222299, -0.096491182192691, 0.0983282158932065, -0.0806901405196428]|
0.8200000000000004,|[-0.005382984341212854, -0.0384755647944936, 0.074713556450815, -0.096153611950415, 0.0985492653565726, -0.08142602813143757]|
0.8400000000000004,|[-0.006637341390396275, -0.037312658238054755, 0.0738724282927364, -0.0958008579381638, 0.09875475274851968, -0.08214905762947033]|
0.8600000000000004,|[-0.007890650326431827, -0.036143859580338056, 0.073019634821874, -0.09543297585988558, 0.09894464562020623, -0.08285911483900091]|
0.8800000000000004,|[-0.009142713237309337, -0.03496935338820038, 0.07215531070420254, -0.09505002380842495, 0.09911891398534664, -0.08355608763376507]|
0.9000000000000005,|[-0.010393332407781161, -0.03378932512978544, 0.07127959242652025, -0.09465206225635013, 0.09927753032494586, -0.08423986595367897]|
0.9200000000000005,|[-0.011642310350582285, -0.03260396114523422, 0.07039261827489456, -0.09423915404640353, 0.09942046959164513, -0.08491034182221927]|
0.9400000000000005,|[-0.01288944983761711, -0.03141344861726106, 0.06949452831282613, -0.09381136438157806, 0.09954770921367725, -0.08556740936347394]|
0.9600000000000005,|[-0.014134553931103508, -0.03021797554159499, 0.06858546435913097, -0.0933687608148209, 0.09965922909843086, -0.08621096481886124]|
0.9800000000000005,|[-0.015377426014671064, -0.029017730697292674, 0.06766556996554533, -0.09291141323836608, 0.0997550116356234, -0.08684090656351444]|
1.0000000000000004,|[-0.0166178698244103, -0.027812903616929386, 0.06673499039405822, -0.09243939387269764, 0.09983504170008191, -0.08745713512232953]|
1.0200000000000005,|[-0.01785568947986363, -0.02660368455666758, 0.06579387259397135, -0.09195277725514499, 0.09989930665413148, -0.08805955318567388]|
1.0400000000000005,|[-0.019090689514958542, -0.025390264466214587, 0.06484236517869511, -0.0914516402281136, 0.09994779634959082, -0.08864806562475114]|
1.0600000000000005,|[-0.020322674908872573, -0.024172834958668746, 0.06388061840228035, -0.09093606192694915, 0.09998050312937495, -0.08922257950662527]|
1.0800000000000005,|[-0.021551451116830753, -0.02295158828026288, 0.0629087841356925, -0.09040612376744217, 0.09999742182870419, -0.08978300410889434]|
1.1000000000000005,|[-0.022776824100825058, -0.021726717280004314, 0.061927015842827886, -0.08986190943297129, 0.0999985497759198, -0.09032925093401703]|
1.1200000000000006,|[-0.023998600360256524, -0.020498415379223138, 0.06093546855628093, -0.08930350486128863, 0.09998388679290582, -0.09086123372328735]|
1.1400000000000006,|[-0.025216586962490673, -0.019266876541028415, 0.05993429885286259, -0.0887309982309493, 0.09995343519511728, -0.09137886847045591]|
1.1600000000000006,|[-0.026430591573323326, -0.01803229523967879, 0.05892366482887466, -0.08814447994738694, 0.09990719979121443, -0.09188207343499555]|
1.1800000000000006,|[-0.027640422487353586, -0.016794866429874176, 0.057903726075145746, -0.08754404262863767, 0.09984518788230355, -0.09237076915500902]|
1.2000000000000006,|[-0.028845888658254982, -0.015554785515968018, 0.056874643651828274, -0.08692978109071425, 0.09976740926078387, -0.09284487845977726]|
1.2200000000000006,|[-0.03004679972894525, -0.014312248321112093, 0.05583658006296641, -0.08630179233263496, 0.09967387620880147, -0.09330432648194445]|
